participant_id,trial_id,chart_type,permuted,is_correct,response_time_ms
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-np-00,colorfield,ordered,False,13349.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-p-02,line chart,permuted,False,16080.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-p-02,colorfield,permuted,False,18282.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-p-09,line chart,permuted,False,14497.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-np-03,line chart,ordered,True,20192.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-p-06,line chart,permuted,False,15857.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-np-08,line chart,ordered,False,13581.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-np-07,colorfield,ordered,False,10185.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-p-01,line chart,permuted,False,16143.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-p-08,line chart,permuted,False,11208.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-p-05,line chart,permuted,True,6946.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-np-03,colorfield,ordered,True,8279.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-np-06,line chart,ordered,True,26837.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-p-05,colorfield,permuted,True,10941.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-p-08,colorfield,permuted,False,10064.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-p-00,line chart,permuted,False,13451.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-np-00,line chart,ordered,False,18037.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-np-04,line chart,ordered,False,7388.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-np-02,colorfield,ordered,True,9070.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-p-09,colorfield,permuted,True,7659.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-p-03,colorfield,permuted,False,7854.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-np-01,line chart,ordered,False,13266.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-p-07,colorfield,permuted,False,6747.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-np-04,colorfield,ordered,True,5580.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-np-09,line chart,ordered,False,10844.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-np-05,colorfield,ordered,False,8557.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-np-02,line chart,ordered,False,7274.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-p-01,colorfield,permuted,True,9162.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-p-05,colorfield,permuted,True,35653.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-p-00,colorfield,permuted,False,25702.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-p-02,colorfield,permuted,False,14071.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-p-07,colorfield,permuted,False,12723.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-np-02,colorfield,ordered,True,16954.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-p-07,line chart,permuted,False,19375.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-p-05,line chart,permuted,True,18041.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-np-05,colorfield,ordered,True,11394.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-np-09,line chart,ordered,False,32527.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-np-08,colorfield,ordered,True,14864.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-p-00,line chart,permuted,False,26888.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-np-06,colorfield,ordered,False,14729.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-p-09,line chart,permuted,False,12106.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-np-07,colorfield,ordered,False,12208.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-np-01,line chart,ordered,True,12575.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-np-04,line chart,ordered,False,15078.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-p-04,colorfield,permuted,True,13005.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-np-06,line chart,ordered,True,7894.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-np-01,colorfield,ordered,True,10144.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-np-04,colorfield,ordered,False,16830.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-np-00,line chart,ordered,False,13801.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-p-06,line chart,permuted,False,8607.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-p-08,colorfield,permuted,False,14408.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-np-09,colorfield,ordered,True,16709.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-p-03,colorfield,permuted,False,10576.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-p-03,line chart,permuted,False,9557.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-np-00,colorfield,ordered,True,12062.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-p-04,line chart,permuted,False,24295.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-np-08,line chart,ordered,False,19267.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-p-06,colorfield,permuted,False,14154.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-np-03,colorfield,ordered,False,20114.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-np-05,line chart,ordered,False,12693.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-p-01,line chart,permuted,False,12976.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-p-02,line chart,permuted,False,18922.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-np-02,line chart,ordered,True,6472.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-np-03,line chart,ordered,False,9574.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-p-09,colorfield,permuted,False,12089.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-p-08,line chart,permuted,True,8178.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,line-np-07,line chart,ordered,False,12651.0
6cb824e2-5978-46e3-9de0-765b47d4aa4d,cf-p-01,colorfield,permuted,True,13073.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-np-01,colorfield,ordered,True,59369.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-p-09,colorfield,permuted,True,36719.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-p-06,colorfield,permuted,False,21627.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-np-03,line chart,ordered,False,19756.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-p-06,line chart,permuted,True,20850.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-np-03,colorfield,ordered,False,47856.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-p-01,colorfield,permuted,True,32221.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-np-05,line chart,ordered,True,66828.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-np-09,colorfield,ordered,False,19027.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-p-08,colorfield,permuted,False,19295.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-p-07,colorfield,permuted,False,21446.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-p-09,line chart,permuted,False,15922.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-p-08,line chart,permuted,False,14216.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-np-04,line chart,ordered,True,14012.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-np-05,colorfield,ordered,False,10054.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-np-06,line chart,ordered,True,17738.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-p-07,line chart,permuted,False,30340.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-p-03,line chart,permuted,False,10829.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-np-08,line chart,ordered,True,12756.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-np-04,colorfield,ordered,True,17042.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-p-03,colorfield,permuted,False,10260.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-p-05,colorfield,permuted,True,24755.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-p-00,line chart,permuted,False,28734.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-np-06,colorfield,ordered,False,22632.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-p-04,line chart,permuted,True,11326.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-p-05,line chart,permuted,True,7193.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-p-04,colorfield,permuted,False,25331.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-np-07,colorfield,ordered,True,15157.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-p-02,colorfield,permuted,True,24212.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-np-00,colorfield,ordered,True,21976.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-np-01,line chart,ordered,False,26864.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-p-01,line chart,permuted,False,19256.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-np-08,colorfield,ordered,True,7779.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-np-02,colorfield,ordered,True,9686.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,cf-p-00,colorfield,permuted,False,14117.0
781c60cf-2ff7-4ed0-9f1a-9c4a80f84cb2,line-np-02,line chart,ordered,True,13419.0
